user id,query number,query,"task (+ = re-attempt, repair = trying to recover from error made by previous query, * = trying to get the browser to focus on a component, which isn't supported)",success? + = yes,Chickenfoot command
75,31,option 2 GIF,2.6,+,"select(xpath(/* 2 gif(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), undefined)"
75,32,option 3 grayscale,2.7,+,"select(xpath(/* 3 grayscale(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), undefined)"
75,33,option 4 No filtering,2.8,,"turn(xpath(/* filter(html radiobutton)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/FONT[1]/INPUT[1]""), false)"
75,34,option 4 1,2.8,,"enter(/*string*/ ""option 4"", xpath(/* no keywords [1] (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
75,35,lisa simpson,repair,,"enter(/*string*/ ""lisa simpson"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
75,36,tab,2.8 *,,"enter(/*string*/ ""tab"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
75,37,lisa simpson,repair,,"enter(/*string*/ ""lisa simpson"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
75,38,option 4,2.8,,"enter(/*string*/ ""option"", xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/INPUT[1]""))"
75,39,clear field 4,repair,,"clear(xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/INPUT[1]""))"
75,40,option 4 select No filtering,2.8,+,"select(xpath(/* no filter(html radiobutton)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[5]/TD[2]/FONT[1]/INPUT[1]""), undefined)"
75,41,url slashdot.org,3.1,+,"go(/*url*/ ""slashdot.org"")"
75,42,link Login,3.2,+,"click(xpath(/* log in(html link)*/ ""BODY[1]/DIV[3]/DIV[3]/DIV[1]/DIV[1]/H4[1]/A[1]""))"
75,43,bloopy,3.3,+,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
75,44,field 2 bloppy,3.4,+,"enter(/*string*/ ""bloppy"", xpath(/* no keywords [2] (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[3]""))"
75,45,option 1,3.5,,"enter(/*string*/ ""option"", xpath(/* no keywords [1] (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
75,46,bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[2]""))"
75,47,option select,3.5,,"click(xpath(/* no keywords (html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[4]""))"
75,48,field 2 bloopy,repair,,"enter(/*string*/ ""bloopy"", xpath(/* no keywords [2] (html textbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[3]""))"
75,49,field 3 select,3.5,,"enter(/*string*/ ""select"", xpath(/* no keywords [3] (html textbox)*/ ""BODY[1]/DIV[3]/DIV[5]/DIV[1]/FORM[1]/FIELDSET[1]/INPUT[1]""))"
75,50,box select,3.5,+,"select(xpath(/* no keywords (html checkbox)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/LABEL[3]/INPUT[1]""), undefined)"
75,51,button,3.6,+,"click(xpath(/* no keywords (html button)*/ ""BODY[1]/DIV[3]/DIV[4]/DIV[1]/DIV[1]/DIV[2]/FORM[1]/FIELDSET[1]/INPUT[4]""))"
75,52,url www.ebay.com,4.1,+,"go(/*url*/ ""www.ebay.com"")"
75,53,link register,4.2,+,"click(xpath(/* register(html link)*/ ""BODY[1]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/SPAN[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/SPAN[1]/SPAN[1]/A[1]""))"
75,54,field 3 777 Home Drive,4.3,+,"enter(/*string*/ ""777 Home Drive"", xpath(/* no keywords [3] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[2]/DIV[1]/INPUT[1]""))"
75,55,field 4 PO Box 777,4.4,+,"enter(/*string*/ ""PO Box 777"", xpath(/* no keywords [4] (html textbox)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[3]/DIV[1]/INPUT[1]""))"
75,56,option Arizona,4.5,+,"select(xpath(/* arizona(html listitem)*/ ""BODY[1]/FORM[1]/DIV[6]/DIV[6]/DIV[5]/SPAN[1]/DIV[1]/SELECT[1]/OPTION[4]""), undefined)"
75,57,url www.yahoo.com,5.1,+,"go(/*url*/ ""www.yahoo.com"")"
75,58,link Sign Up,5.2,+,"click(xpath(/* sign up(html link)*/ ""BODY[1]/DIV[1]/DIV[4]/DIV[1]/DIV[1]/H2[1]/SPAN[2]/A[1]""))"
75,59,button,5.3,+,"click(xpath(/* no keywords (html button)*/ ""BODY[1]/CENTER[1]/TABLE[2]/TBODY[1]/TR[6]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[1]/FORM[1]/INPUT[1]""))"
75,60,field 6 bloop,5.4,+,"enter(/*string*/ ""bloop"", xpath(/* no keywords [6] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[5]/TD[3]/INPUT[1]""))"
75,61,option 3 April,5.5,+,"select(xpath(/* 3 april(html listitem)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/SELECT[1]/OPTION[5]""), undefined)"
75,62,field 7 28,5.6,+,"enter(/*string*/ ""28"", xpath(/* no keywords [7] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/INPUT[1]""))"
75,63,field 8 2001,5.7,+,"enter(/*string*/ ""2001"", xpath(/* no keywords [8] (html textbox)*/ ""BODY[1]/DIV[3]/TABLE[2]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/TABLE[1]/TBODY[1]/TR[8]/TD[3]/INPUT[2]""))"
87,0,http://www.google.com,1.1,+,"go(/*url*/ ""http://www.google.com"")"
87,1,mit,1.2,+,"enter(/*string*/ ""mit"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[2]""))"
87,2,lucky,1.3,+,"click(xpath(/* lucky(html button)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[2]/INPUT[4]""))"
87,3,opencourseware,1.4,,"enter(/*string*/ ""opencourseware"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[3]/FORM[1]/TABLE[1]/TBODY[1]/TR[18]/TD[2]/INPUT[1]""))"
87,4,OpenCourseWare,1.4,+,"click(xpath(/* open cours ware(html link)*/ ""BODY[1]/DIV[1]/DIV[3]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[2]/A[2]""))"
87,5,Advanced,1.5,+,"click(xpath(/* advanced(html link)*/ ""BODY[1]/FORM[1]/DIV[2]/DIV[3]/DIV[1]/DIV[1]/DIV[1]/DIV[3]/A[1]""))"
87,6,without nothing,1.6,+,"enter(/*string*/ ""nothing"", xpath(/* without(html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/INPUT[1]""))"
87,7,limit calendar,1.8,+,"select(xpath(/* limit cardinal(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[4]""), undefined)"
87,8,limit any section,1.7,,"select(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* limit any section(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]""))"
87,9,limit readings,1.7 *,,"select(xpath(/* limit reading(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[5]""), undefined)"
87,10,undo,repair,,"enter(/*string*/ ""undo"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,11,without nothing,repair,,"enter(/*string*/ ""nothing"", xpath(/* without(html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[4]/TD[3]/INPUT[1]""))"
87,12,all ,repair,,"enter(/*string*/ ""all"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,13,"all "" """,repair,,"enter(/*string*/ ""all \"" \"""", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,14,with asdf,repair,,"/*with*/ enter(/*string*/ ""asdf"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,15,with    ,repair,,/* no match */
87,16,limit any section    ,1.7,,"select(xpath(/* no keywords (html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[1]""), xpath(/* limit any section(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]""))"
87,17,!limit calendar,1.7,,"select(xpath(/* limit cardinal(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[4]""), undefined)"
87,18,not limit readings,repair,,"select(xpath(/* not limit reading(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[5]""), undefined)"
87,19,limit scroll,1.7 *,,"enter(/*string*/ ""limit scroll"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,20,limit asdf,1.7,,"enter(/*string*/ ""limit asdf"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/INPUT[1]""))"
87,21,limit syllabus,1.7 *,,"select(xpath(/* limit syllabu(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[3]""), undefined)"
87,22,limit !syllabus,1.7 *,,"select(xpath(/* limit syllabu(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[3]""), undefined)"
87,23,limit not syllabus,1.7 *,,"select(xpath(/* limit not syllabu(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[3]""), undefined)"
87,24,limit syllabus,1.7 *,,"select(xpath(/* limit syllabu(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[3]""), undefined)"
87,25,limit syllabus,1.7 *,,"select(xpath(/* limit syllabu(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[6]/TD[3]/SELECT[1]/OPTION[3]""), undefined)"
87,26,sort by date,1.9,+,"select(xpath(/* by date(html listitem)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[10]/TD[3]/SELECT[1]/OPTION[2]""), xpath(/* str(html listbox)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[10]/TD[3]/SELECT[1]""))"
87,27,search,1.91,+,"click(xpath(/* search(html button)*/ ""BODY[1]/DIV[1]/DIV[2]/DIV[1]/DIV[3]/DIV[1]/DIV[2]/FORM[1]/TABLE[1]/TBODY[1]/TR[12]/TD[3]/INPUT[1]""))"
87,28,google.com,2.1,+,"go(/*url*/ ""google.com"")"
87,29,images,2.2,+,"click(xpath(/* imag(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/FONT[1]/A[1]""))"
87,30,advanced ,2.3,+,"click(xpath(/* advanced(html link)*/ ""BODY[1]/CENTER[1]/FORM[1]/TABLE[2]/TBODY[1]/TR[1]/TD[3]/FONT[1]/A[1]""))"
87,31,all lisa simpson,2.4,+,"enter(/*string*/ ""lisa simpson"", xpath(/* all(html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
87,32,size large,2.5,+,"select(xpath(/* large(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/FONT[1]/SELECT[1]/OPTION[4]""), xpath(/* size(html listbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[3]/FONT[1]/SELECT[1]""))"
87,33,filetypes gif,2.6,+,"select(xpath(/* gif(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), xpath(/* filetype(html listbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[3]/FONT[1]/SELECT[1]""))"
87,34,coloration gray,2.7,,"enter(/*string*/ ""coloration gray"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
87,35,lisa simpson,repair,,"enter(/*string*/ ""lisa simpson"", xpath(/* no keywords (html textbox)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/TABLE[1]/TBODY[1]/TR[1]/TD[2]/INPUT[1]""))"
87,36,coloration grayscale,2.7,+,"select(xpath(/* coloration grayscale(html listitem)*/ ""BODY[1]/FORM[1]/P[1]/TABLE[1]/TBODY[1]/TR[1]/TD[1]/TABLE[1]/TBODY[1]/TR[2]/TD[1]/TABLE[1]/TBODY[1]/TR[3]/TD[3]/FONT[1]/SELECT[1]/OPTION[3]""), undefined)"
